SCP, SCP_REFERENCE_N, N_OF_OCCUR
1306, 1306, 27
1307, 1307, 17
1308, 1308, 30
1309, 1309, 21
1310, 1310, 20
1311, 1311, 16
1311, 1993, 2
1312, 1312, 17
1313, 1313, 14
1314, 1314, 7
1315, 1315, 13
1316, 1316, 13
1317, 1317, 26
1318, 1318, 15
1319, 1319, 3
1320, 1320, 16
1321, 1321, 19
1322, 1322, 45
1323, 1323, 13
1323, 2523, 1
1324, 1324, 13
1325, 1325, 12
1326, 1326, 18
1327, 1327, 6
1328, 1328, 23
1329, 1329, 13
1330, 1330, 32
1331, 1331, 13
1332, 1332, 5
1333, 1333, 23
1334, 1334, 11
1335, 1335, 18
1336, 1336, 18
1337, 1337, 27
1338, 1338, 29
1339, 1339, 24
1340, 1340, 16
1341, 1341, 17
1342, 1342, 6
1343, 1343, 11
1344, 1344, 21
1345, 1345, 13
1346, 1346, 6
1347, 1347, 17
1348, 1348, 7
1349, 1349, 21
1350, 1350, 16
1351, 1351, 25
1352, 1352, 10
1353, 1353, 17
1354, 1354, 19
1355, 1355, 21
1356, 1356, 12
1357, 1357, 17
1358, 1358, 11
1359, 1359, 37
1360, 1360, 15
1361, 1361, 35
1362, 1362, 19
1363, 1363, 13
1364, 1364, 27
1365, 1365, 15
1366, 1366, 18
1367, 1367, 9
1368, 1368, 33
1369, 1369, 23
1370, 1370, 19
1371, 1371, 18
1372, 1372, 19
1373, 1373, 4
1374, 1374, 25
1374, 96, 1
1375, 1375, 4
1376, 1376, 15
1377, 1377, 5
1378, 1378, 8
1379, 1379, 11
1380, 1380, 8
1381, 1381, 17
1382, 1382, 7
1383, 1383, 23
1384, 1384, 13
1385, 1385, 11
1386, 1386, 12
1387, 1387, 14
1388, 1388, 9
1389, 1389, 13
1390, 1390, 31
1391, 1391, 6
1392, 1392, 10
1393, 1393, 15
1394, 1394, 17
1395, 1395, 6
1396, 1396, 15
1397, 1397, 10
1398, 1398, 6
1399, 1399, 9
1400, 1400, 16
1401, 1401, 24
1402, 1402, 9
1403, 1403, 15
1404, 1404, 26
1405, 1405, 24
1406, 1406, 16
1407, 1407, 25
1408, 1408, 15
1409, 1409, 30
1410, 1410, 35
1411, 1411, 4
1412, 1412, 16
1413, 1413, 15
1414, 1414, 18
1415, 1415, 4
1416, 1416, 7
1417, 1417, 4
1418, 1418, 9
1419, 1419, 14
1420, 1420, 16
1421, 1421, 15
1422, 1422, 18
1423, 1423, 17
1424, 1424, 20
1425, 1425, 37
1426, 1426, 12
1427, 1427, 20
1428, 1428, 3
1429, 1429, 21
1430, 1430, 19
1431, 1431, 17
1432, 1432, 14
1433, 1433, 17
1434, 1434, 8
1435, 1435, 21
1436, 1436, 25
1437, 1437, 63
1438, 1438, 28
1438, 2820, 1
1439, 1439, 14
1440, 1440, 23
1441, 1441, 12
1442, 1442, 16
1443, 1443, 15
1444, 1444, 18
1445, 1445, 19
1446, 1446, 16
1447, 1447, 2
1448, 1448, 31
1449, 1449, 12
1450, 1450, 34
1451, 1451, 23
1452, 1452, 34
1453, 1453, 22
1454, 1454, 18
1455, 1455, 23
1456, 1456, 4
1457, 1457, 30
1458, 1458, 24
1459, 1459, 25
1460, 1460, 16
1461, 1461, 23
1462, 1462, 11
1463, 1463, 19
1464, 1464, 14
1465, 1465, 7
1466, 1466, 14
1466, 2441, 1
1467, 1467, 34
1468, 1468, 21
1469, 1469, 2
1470, 1470, 32
1471, 1471, 12
1472, 1472, 18
1472, 1093, 7
1473, 1473, 16
1474, 1474, 12
1475, 1475, 21
1476, 1476, 15
1477, 1477, 27
1478, 1478, 15
1479, 1479, 14
1480, 1480, 18
1481, 1481, 10
1482, 1482, 18
1483, 1483, 21
1484, 1484, 16
1485, 1485, 17
1486, 1486, 27
1487, 1487, 21
1488, 1488, 14
1489, 1489, 17
1490, 1490, 19
1491, 1491, 12
1492, 1492, 9
1493, 1493, 22
1494, 1494, 11
1494, 1387, 1
1495, 1495, 13
1495, 500, 1
1496, 1496, 16
1497, 1497, 18
1498, 1498, 19
1499, 1499, 25
1500, 1500, 28
1501, 1501, 25
1502, 1502, 22
1503, 1503, 8
1504, 1504, 14
1505, 1505, 12
1506, 1506, 7
1507, 1507, 11
1508, 1508, 29
1509, 1509, 26
1510, 1510, 8
1511, 1511, 14
1512, 1512, 9
1513, 1513, 10
1514, 1514, 6
1515, 1515, 22
1516, 1516, 28
